,artists,links,song_names
0,Allan Kingdom,http://hotnewhiphop.com/allan-kingdom-minnesota-remix-new-song.1972416.html,Minnesota (Remix)
1,Dave East,http://hotnewhiphop.com/dave-east-what-a-year-eastmix-new-song.1972415.html,What A Year [EASTMIX]
2,Dougie F,http://hotnewhiphop.com/dougie-f-half-new-song.1972414.html,Half
3,Tory Lanez & Jacquees,http://hotnewhiphop.com/tory-lanez-slow-grind-feat-jacquees-new-song.1972412.html,Slow Grind
4,TwoR ,http://hotnewhiphop.com/twor-reece-renee-new-song.1972413.html,Drugs
5,Tory Lanez & A$AP Ferg,http://hotnewhiphop.com/tory-lanez-bal-harbour-feat-asap-ferg-prod-by-c-sick-new-song.1972411.html,Bal Harbour
6,TWENTYFOUR,http://hotnewhiphop.com/twentyfour-twentyfour-new-song.1972409.html,LOST
7,Chief Keef,http://hotnewhiphop.com/chief-keef-empty-prod-by-chief-keef-new-song.1972408.html,Empty
8,Fabolous & Trey Songz,http://hotnewhiphop.com/fabolous-bad-and-boujee-new-song.1972407.html,Bad & Boujee (Remix)
9,Chris Brown & Young Thug & Trey Songz,http://hotnewhiphop.com/chris-brown-dat-night-feat-young-thug-and-trey-songz-new-song.1972406.html,Dat Night
10,OG.ENIU$,http://hotnewhiphop.com/ogenius-come-thru-interlude-prod-cvdubs-new-song.1972405.html,Come Thru Interlude [Prod. CVdubs]
11,John Polanco,http://hotnewhiphop.com/john-polanco-john-polanco-new-song.1972404.html,Currency
12,G Herbo,http://hotnewhiphop.com/g-herbo-dont-forget-it-prod-by-harry-fraud-new-song.1972403.html,Don't Forget It
13,Action Bronson,http://hotnewhiphop.com/action-bronson-dealer-plates-prod-by-harry-fraud-new-song.1972402.html,Dealer Plates
14,French Montana,http://hotnewhiphop.com/french-montana-empire-prod-by-harry-fraud-new-song.1972401.html,Empire
15,Tyga & Kanye West,http://hotnewhiphop.com/tyga-feel-me-feat-kanye-west-new-song.1972400.html,Feel Me
16,Soulja Boy & Sean Kingston,http://hotnewhiphop.com/soulja-boy-trial-w-sean-kingston-new-song.1972399.html,Trial
17,Lloyd Banks,http://hotnewhiphop.com/lloyd-banks-champagne-and-caviar-new-song.1972398.html,Champagne And Caviar
18,Uncle Murda,http://hotnewhiphop.com/uncle-murda-rap-up-2016-new-song.1972397.html,Rap Up 2016
19,SiR,http://hotnewhiphop.com/sir-where-i-wanna-be-new-song.1972396.html,Where I Wanna Be
20,"Cashmere Cat & Starrah, 2 Chainz & Tory Lanez",http://hotnewhiphop.com/cashmere-cat-throw-myself-a-party-feat-starrah-2-chainz-and-tory-lanez-new-song.1972395.html,Throw Myself a Party
21,Iamsu! & E-40,http://hotnewhiphop.com/iamsu-boss-up-feat-e-40-new-song.1972394.html,Bo$$ Up
22,Curren$y & Freddie Gibbs,http://hotnewhiphop.com/stash-house-feat-freddie-gibbs-prod-by-808-ray-new-song.1972393.html,Stash House 
23,Skillz,http://hotnewhiphop.com/skillz-2016-rap-up-new-song.1972391.html,2016 Rap Up
24,The Avalanches & Freddie Gibbs,http://hotnewhiphop.com/the-avalanches-bad-day-feat-freddie-gibb-new-song.1972388.html,Bad Day 
25,Lil West,http://hotnewhiphop.com/lil-west-rapstar-bb-tesla-prod-by-ric-laflare-new-song.1972389.html,Rapstar/BB-Tesla
26,Future & Rick Ross,http://hotnewhiphop.com/future-thats-a-check-feat-rick-ross-new-song.1972387.html,That's A Check
27,Secret Circle & Despot,http://hotnewhiphop.com/secret-circle-satellite-feat-despot-prod-by-shawn-kemp-new-song.1972386.html,Satellite
28,Spooks,http://hotnewhiphop.com/spooks-beta-new-song.1972385.html,Beta
29,ManMan Savage & Lotto Savage,http://hotnewhiphop.com/manman-savage-broke-my-wrist-feat-lotto-savage-new-song.1972384.html,Broke My Wrist
30,Future & Gucci Mane,http://hotnewhiphop.com/future-jordan-diddy-feat-gucci-mane-prod-by-sonny-digital-new-song.1972383.html,Jordan Diddy [Throwback]
31,Lil B,http://hotnewhiphop.com/lil-b-my-house-prod-by-metro-boomin-new-song.1972381.html,My House
32,Run The Jewels & Joi Gilliam,http://hotnewhiphop.com/run-the-jewels-down-feat-joi-new-song.1972380.html,Down 
33,Future,http://hotnewhiphop.com/future-buy-love-new-song.1972378.html,Buy Love
34,Madeintyo & 24hrs,http://hotnewhiphop.com/madeintyo-and-24hrs-ysl-boots-prod-by-k-swisha-new-song.1972377.html,YSL Boots
35,Baby E & Lil Wayne & Hoody Baby,http://hotnewhiphop.com/baby-e-bando-feat-lil-wayne-and-hoody-baby-prod-by-baby-e-new-song.1972375.html,Bando
36,Young Sizzle,http://hotnewhiphop.com/young-sizzle-money-flow-prod-by-southside-topp-new-song.1972374.html,Money Flow 
37,Trinidad James & Lyric Wright,http://hotnewhiphop.com/trinidad-james-she-might-be-a-lesbian-feat-lyric-wright-new-song.1972372.html,She Might Be A Lesbian
38,Big E & Playboi Carti,http://hotnewhiphop.com/big-e-black-n-white-feat-playboi-carti-new-song.1972371.html,Black N White
39,24hrs,http://hotnewhiphop.com/24hrs-impossible-new-song.1972369.html,Impossible
40,Meechy Darko,http://hotnewhiphop.com/meechy-darko-gotta-new-song.1972367.html,Gotta
41,Juelz Santana,http://hotnewhiphop.com/juelz-santana-santana-bandana-new-song.1972366.html,Santana Bandana
42,Hardo,http://hotnewhiphop.com/hardo-been-a-minute-new-song.1972365.html,Been A Minute
43,OG Maco & Doja Cat,http://hotnewhiphop.com/og-maco-monster-feat-doja-cat-new-song.1972364.html,Monster
44,Young Sizzle,http://hotnewhiphop.com/young-sizzle-sum-mo-prod-by-dy-new-song.1972363.html,Sum Mo
45,"Wheezy & Quavo, Lil Uzi Vert & Shad Da God",http://hotnewhiphop.com/wheezy-200-000-feat-quavo-lil-uzi-vert-and-shad-da-god-new-song.1972361.html,"200,000"
46,Run The Jewels & Trina,http://hotnewhiphop.com/run-the-jewels-panther-like-a-panther-miracle-mix-feat-trina-new-song.1972360.html,Panther Like A Panther (Miracle Mix)
